eva_nr,name,state,city,Gemeinde,Teilort,Landkreis,zipcode,street,long,lat,Verkehrsmittel,Linien (EFA),Betriebszweige,Tarifzonen,category,parking,bicycle,taxis,stepless,car_rental
8006268,Stuttgart-Weilimdorf,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70499,Mittlerer Pfad,9.094370086,48.82208429,Bus;S-Bahn,S6;S26;S60;S62;90,10;3,1;2,5,True,True,True,Yes,False
8005778,Stuttgart-Zuffenhausen,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70435,Am Bahnhof 1,9.167156375,48.82960884,Bus;R-Bahn;S-Bahn,S4;S5;S6;S26;S60;S62;IRE1;RE8;MEX12;MEX17;MEX18;MEX19;MEX90;52;53;99;508,10;11;30;31,1,3,True,True,True,Partial,False
8005820,Tamm (Württ),Baden-Württemberg,Tamm,Tamm,Tamm,LB,71732,Bahnhofstr. 15,9.125288012,48.92187736,Bus;R-Bahn;S-Bahn,S5;IRE1;RE8;MEX12;MEX17;MEX18;536;536A;541;542,10;11;31,3,4,True,True,True,Yes,False
8000180,Waiblingen,Baden-Württemberg,Waiblingen,Waiblingen,Waiblingen,WN,71332,Neuer Bahnhof,9.300476874,48.8262444,Bus;Nachtbus;R-Bahn;S-Bahn,S2;S3;IRE1;MEX13;MEX19;RE90;MEX90;201;201A;204;205;206;207;208;209;211;216;218;431;X43;N21;N24;N31;X20,10;11;31;34;35,2,3,True,True,True,Yes,False
8006271,Weil der Stadt,Baden-Württemberg,Weil der Stadt,Weil der Stadt,Weil der Stadt,BB,71263,Am Bahnhof 1,8.873189074,48.7557357,Bus;Ruftaxi;S-Bahn,S6;S26;S62;663;665;666;670;749;766;X74;RT663;RT670;RT766;670.2;880,10;31;50;76,4,4,True,True,True,Yes,False
8006277,Weiler (Rems),Baden-Württemberg,Schorndorf,Schorndorf,Weiler (Schorndorf),WN,76314,Bahnhofstr.1,9.501891172,48.80034585,R-Bahn;S-Bahn,S2;IRE1;MEX13,10;11,4,5,True,True,False,Yes,False
8006331,Wendlingen (Neckar),Baden-Württemberg,Wendlingen am Neckar,Wendlingen am Neckar,Wendlingen am Neckar,ES,73240,Bahnhofstr. 15,9.373662098,48.67368917,Bus;Linientaxi;Nachtbus;R-Bahn;S-Bahn,S1;IRE6;MEX12;MEX18;IRE200;151;152;154;155;184;196;N81;X10;LT151,10;11;31;34;35;52,4,3,True,True,True,Yes,False
8006346,Wernau (Neckar),Baden-Württemberg,Wernau (Neckar),Wernau (Neckar),Wernau (Neckar),ES,73249,Bahnhofsplatz 2,9.413654423,48.69417221,Bus;R-Bahn;S-Bahn,S1;IRE6;MEX12;MEX18;145;146;168,10;11;31,3;4,4,True,True,True,Yes,False
8006479,Winnenden,Baden-Württemberg,Winnenden,Winnenden,Winnenden,WN,71364,Bahnhofstr. 4,9.392155928,48.8795625,Bus;R-Bahn;Ruftaxi;S-Bahn,S3;MEX19;RE90;MEX90;330;331;332;333;334;335;336;337;339;456;MEX19E;RT332;RT334;RT30;RT31,10;11;31;36;50;51,3,3,True,True,True,Yes,False
8006485,Winterbach (b Schorndorf),Baden-Württemberg,Winterbach,Winterbach,Winterbach,WN,73650,Bahnhofstr.1,9.481549751,48.79842743,R-Bahn;S-Bahn,S2;IRE1;MEX13,10;11,4,4,True,True,False,Yes,False
8003807,Magstadt,Baden-Württemberg,Magstadt,Magstadt,Magstadt,BB,71106,Hindenburgstr. 1,8.965315746,48.73616033,Bus;S-Bahn,S60;745,10;31,3;4,6,True,True,False,Yes,False
8003834,Maichingen Nord,Baden-Württemberg,Sindelfingen,Sindelfingen,Maichingen,BB,71069,Stuttgarter Straße Kreuzung mit S,8.979416996,48.72750392,Bus;S-Bahn,S60;704;704A;745,10;31,3,5,True,False,False,Yes,False
8003808,Maichingen,Baden-Württemberg,Sindelfingen,Sindelfingen,Maichingen,BB,71069,Talstraße ,8.969606704,48.72162074,Bus;S-Bahn,S60;704A;715;718;745;748;749,10;31,3,6,False,False,False,Yes,False
8005001,Renningen Süd,Baden-Württemberg,Renningen,Renningen,Renningen,BB,71272,Am Pfarrtor,8.932068278,48.76261937,Bus;S-Bahn,S60;637,10;31,4,6,True,True,False,Yes,False
8098096,Stuttgart Hbf (tief),Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70173,Arnulf-Klett-Platz 2,9.180228831,48.78338649,S-Bahn,S1;S2;S3;S4;S5;S6;S11;S26;S60,10,1,1,True,True,True,Yes,True
